SL,restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
312,Subway,Footlong Big Philly Cheesesteak,1000,300.0,34.0,18.0,2.0,170.0,2620,102.0,12.0,16.0,76.0,30.0,40.0,100.0,Other
313,Subway,Kids Mini Sub Black Forest Ham,180,20.0,3.0,0.5,1.315934065934066,10.0,450,30.0,3.0,5.0,10.0,6.0,15.0,20.0,Other
314,Subway,"6"" Black Forest Ham",290,40.0,5.0,1.0,1.315934065934066,20.0,830,46.0,5.0,8.0,18.0,8.0,20.0,30.0,Other
315,Subway,Footlong Black Forest Ham,580,80.0,10.0,2.0,1.315934065934066,40.0,1660,92.0,10.0,16.0,36.0,16.0,40.0,60.0,Other
316,Subway,"6"" Carved Turkey",330,45.0,5.0,1.0,1.315934065934066,45.0,890,45.0,5.0,7.0,25.0,8.0,20.0,30.0,Other
317,Subway,Footlong Carved Turkey,660,90.0,10.0,2.0,1.315934065934066,90.0,1780,90.0,10.0,14.0,50.0,16.0,40.0,60.0,Other
318,Subway,"6"" Carved Turkey & Bacon w/ Cheese",570,230.0,26.0,7.0,1.315934065934066,70.0,1600,46.0,5.0,8.0,33.0,10.0,20.0,40.0,Other
319,Subway,Footlong Carved Turkey & Bacon w/ Cheese,1140,460.0,52.0,14.0,1.315934065934066,140.0,3200,92.0,10.0,16.0,66.0,20.0,40.0,80.0,Other
320,Subway,"6"" Chicken & Bacon Ranch Melt",570,250.0,28.0,10.0,1.0,95.0,1080,47.0,5.0,8.0,35.0,15.0,25.0,50.0,Other
321,Subway,Footlong Chicken & Bacon Ranch Melt,1140,500.0,56.0,20.0,2.0,190.0,2160,94.0,10.0,16.0,70.0,30.0,50.0,100.0,Other
322,Subway,"6"" Chicken Pizziola Melt",460,140.0,16.0,6.0,1.315934065934066,80.0,1140,49.0,6.0,9.0,32.0,15.0,30.0,45.0,Other
323,Subway,Footlong Chicken Pizziola Melt,920,280.0,32.0,12.0,1.315934065934066,160.0,2280,98.0,12.0,18.0,64.0,30.0,60.0,90.0,Other
324,Subway,"6"" Cold Cut Combo",370,120.0,13.0,4.0,1.315934065934066,50.0,1140,46.0,5.0,7.0,18.0,10.0,20.0,35.0,Other
325,Subway,Footlong Cold Cut Combo,740,240.0,26.0,8.0,1.315934065934066,100.0,2280,92.0,10.0,14.0,36.0,20.0,40.0,70.0,Other
326,Subway,"6"" Corned Beef Reuben",470,130.0,15.0,4.5,1.315934065934066,85.0,1770,45.0,7.0,12.0,39.0,10.0,35.0,20.0,Other
327,Subway,Footlong Corned Beef Reuben,940,260.0,30.0,9.0,1.315934065934066,170.0,3540,90.0,14.0,24.0,78.0,20.0,70.0,40.0,Other
328,Subway,"6"" Italian B.M.T.",410,150.0,16.0,6.0,1.315934065934066,45.0,1300,46.0,5.0,8.0,20.0,8.0,20.0,30.0,Other
329,Subway,Footlong Italian B.M.T.,820,300.0,32.0,12.0,1.315934065934066,90.0,2600,92.0,10.0,16.0,40.0,16.0,40.0,60.0,Other
330,Subway,"6"" Italian Hero",550,260.0,29.0,10.0,1.315934065934066,75.0,1470,47.0,5.0,9.0,26.0,10.0,20.0,40.0,Other
331,Subway,Footlong Italian Hero,1100,520.0,58.0,20.0,1.315934065934066,150.0,2940,94.0,10.0,18.0,52.0,20.0,40.0,80.0,Other
332,Subway,"6"" Meatball Marinara",480,160.0,18.0,7.0,1.0,30.0,950,59.0,8.0,12.0,21.0,25.0,35.0,35.0,Other
333,Subway,Footlong Meatball Marinara,960,320.0,36.0,14.0,2.0,60.0,1900,118.0,16.0,24.0,42.0,50.0,70.0,70.0,Other
334,Subway,"6"" Oven Roasted Chicken",320,40.0,5.0,2.0,1.315934065934066,25.0,640,47.0,5.0,8.0,23.0,8.0,30.0,30.0,Other
335,Subway,Footlong Oven Roasted Chicken,640,80.0,10.0,4.0,1.315934065934066,50.0,1280,44.0,10.0,16.0,46.0,16.0,60.0,60.0,Other
336,Subway,Kids Mini Sub Roast Beef,200,25.0,3.0,1.0,1.315934065934066,25.0,390,30.0,4.0,5.0,14.0,6.0,15.0,20.0,Other
337,Subway,"6"" Roast Beef",320,40.0,5.0,2.0,1.315934065934066,40.0,700,45.0,5.0,7.0,24.0,8.0,20.0,30.0,Other
338,Subway,Footlong Roast Beef,640,80.0,10.0,4.0,1.315934065934066,80.0,1400,90.0,10.0,14.0,48.0,16.0,40.0,60.0,Other
339,Subway,"6"" Rotisserie Style Chicken",350,50.0,6.0,1.5,1.315934065934066,50.0,540,44.0,5.0,7.0,29.0,8.0,20.0,30.0,Other
340,Subway,Footlong Rotisserie Style Chicken,700,100.0,12.0,3.0,1.315934065934066,100.0,1080,88.0,10.0,14.0,58.0,16.0,40.0,60.0,Other
341,Subway,"6"" Spicy Italian",480,220.0,24.0,9.0,1.0,50.0,1520,46.0,5.0,8.0,20.0,8.0,20.0,30.0,Other
342,Subway,Footlong Spicy Italian,960,440.0,48.0,18.0,2.0,100.0,3040,92.0,10.0,16.0,40.0,16.0,40.0,60.0,Other
343,Subway,"6"" Steak and Cheese",380,90.0,10.0,5.0,1.315934065934066,50.0,1060,48.0,5.0,8.0,26.0,10.0,20.0,40.0,Other
344,Subway,Footlong Steak and Cheese,760,180.0,20.0,10.0,1.315934065934066,100.0,2120,96.0,10.0,16.0,52.0,20.0,40.0,80.0,Other
345,Subway,"6"" Subway Club",310,40.0,5.0,2.0,1.315934065934066,40.0,880,46.0,5.0,7.0,23.0,8.0,20.0,30.0,Other
346,Subway,Footlong Subway Club,620,80.0,10.0,4.0,1.315934065934066,80.0,1760,92.0,10.0,14.0,46.0,16.0,40.0,60.0,Other
347,Subway,"6"" Subway Melt (includes cheese)",370,100.0,11.0,5.0,1.315934065934066,45.0,1210,47.0,5.0,8.0,23.0,10.0,20.0,40.0,Other
348,Subway,Footlong Subway Melt (includes cheese),740,200.0,22.0,10.0,1.315934065934066,90.0,1420,94.0,10.0,16.0,46.0,20.0,40.0,80.0,Other
349,Subway,"6"" Subway Seafood Sensation",420,170.0,19.0,3.0,1.315934065934066,20.0,690,51.0,5.0,8.0,13.0,10.0,20.0,35.0,Other
350,Subway,Footlong Subway Seafood Sensation,840,340.0,38.0,6.0,1.315934065934066,40.0,1380,102.0,10.0,16.0,26.0,20.0,40.0,70.0,Other
351,Subway,"6"" Sweet Onion Chicken Teriyaki",380,40.0,5.0,1.0,1.315934065934066,50.0,900,59.0,5.0,18.0,26.0,8.0,30.0,35.0,Other
352,Subway,Footlong Sweet Onion Chicken Teriyaki,760,80.0,10.0,2.0,1.315934065934066,100.0,1800,118.0,10.0,36.0,52.0,16.0,60.0,70.0,Other
353,Subway,"6"" Tuna",470,210.0,24.0,4.0,1.315934065934066,30.0,620,44.0,5.0,6.0,20.0,8.0,20.0,30.0,Other
354,Subway,Footlong Tuna,940,420.0,48.0,8.0,1.315934065934066,60.0,1240,88.0,10.0,12.0,40.0,16.0,40.0,60.0,Other
355,Subway,"6"" Turkey & Bacon Avocado",390,110.0,13.0,3.5,1.315934065934066,30.0,860,49.0,8.0,7.0,22.0,10.0,200.0,30.0,Other
356,Subway,Footlong Turkey & Bacon Avocado,780,220.0,26.0,7.0,1.315934065934066,60.0,1720,98.0,16.0,14.0,44.0,20.0,400.0,60.0,Other
357,Subway,Kids Mini Sub Turkey Breast,180,20.0,2.0,0.5,1.315934065934066,10.0,380,30.0,3.0,5.0,10.0,6.0,15.0,20.0,Other
358,Subway,"6"" Turkey Breast",280,30.0,4.0,1.0,1.315934065934066,20.0,810,46.0,5.0,7.0,18.0,8.0,20.0,30.0,Other
359,Subway,Footlong Turkey Breast,560,60.0,8.0,2.0,1.315934065934066,40.0,1620,92.0,10.0,14.0,36.0,16.0,40.0,60.0,Other
360,Subway,"6"" Turkey Breast & Ham",280,35.0,4.0,1.0,1.315934065934066,20.0,820,46.0,5.0,8.0,18.0,8.0,20.0,30.0,Other
361,Subway,Footlong Turkey Breast & Ham,560,70.0,8.0,2.0,1.315934065934066,40.0,1640,92.0,10.0,16.0,36.0,16.0,40.0,60.0,Other
362,Subway,"6"" Turkey Italiano Melt (with Provolone)",490,210.0,24.0,9.0,1.0,50.0,1480,47.0,5.0,8.0,24.0,10.0,20.0,45.0,Other
363,Subway,Footlong Turkey Italiano Melt (with Provolone),980,420.0,48.0,18.0,2.0,100.0,2960,94.0,10.0,16.0,48.0,20.0,40.0,90.0,Other
364,Subway,Kids Mini Sub Veggie Delite,150,15.0,2.0,8.233333333333333,1.315934065934066,74.18489065606362,190,29.0,3.0,4.0,6.0,6.0,15.0,20.0,Other
365,Subway,"6"" Veggie Delite",230,20.0,3.0,1.0,1.315934065934066,74.18489065606362,310,44.0,5.0,6.0,8.0,8.0,20.0,30.0,Other
366,Subway,Footlong Veggie Delite,460,40.0,6.0,2.0,1.315934065934066,74.18489065606362,620,88.0,10.0,12.0,16.0,16.0,40.0,60.0,Other
367,Subway,"6"" Veggie Patty",390,70.0,7.0,1.0,1.315934065934066,10.0,800,56.0,8.0,8.0,23.0,15.0,20.0,35.0,Other
368,Subway,Footlong Veggie Patty,780,140.0,14.0,2.0,1.315934065934066,20.0,1600,112.0,16.0,16.0,46.0,30.0,20.0,70.0,Other
369,Subway,Autumn Carved Turkey Salad,300,80.0,9.0,3.0,1.315934065934066,60.0,1120,26.0,3.0,22.0,25.0,40.0,40.0,15.0,Other
370,Subway,B.L.T. Salad,150,70.0,8.0,4.0,1.315934065934066,20.0,420,10.0,4.0,5.0,10.0,50.0,50.0,6.0,Other
371,Subway,Big Hot Pastrami Melt Salad,400,300.0,29.0,11.0,1.315934065934066,85.0,1250,12.0,4.0,4.0,23.0,25.0,70.0,10.0,Other
372,Subway,Big Philly Cheesesteak Salad,330,140.0,16.0,8.0,1.0,85.0,1080,17.0,5.0,6.0,32.0,60.0,50.0,25.0,Other
373,Subway,Black Forest Ham Salad,110,25.0,3.0,1.0,1.315934065934066,20.0,590,11.0,4.0,6.0,12.0,25.0,45.0,4.0,Other
374,Subway,Buffalo Chicken Salad (with Ranch dressing),360,230.0,26.0,4.0,1.315934065934066,60.0,1100,13.0,4.0,6.0,20.0,50.0,60.0,8.0,Other
375,Subway,Carved Turkey & Bacon w/ Cheese Salad,280,110.0,12.0,4.5,1.315934065934066,65.0,1320,11.0,4.0,5.0,28.0,50.0,50.0,15.0,Other
376,Subway,Carved Turkey Salad,150,30.0,4.0,8.233333333333333,1.315934065934066,45.0,680,8.0,3.0,3.0,19.0,40.0,40.0,6.0,Other
377,Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,340.0,38.0,12.0,1.0,100.0,1040,14.0,4.0,7.0,30.0,60.0,60.0,30.0,Other
378,Subway,Cold Cut Combo Salad,180,95.0,11.0,4.0,1.315934065934066,45.0,820,12.0,4.0,5.0,12.0,50.0,50.0,10.0,Other
379,Subway,Double Chicken Salad,220,35.0,5.0,1.5,1.315934065934066,100.0,490,10.0,4.0,4.0,36.0,50.0,60.0,8.0,Other
380,Subway,Italian B.M.T.® Salad,230,135.0,15.0,6.0,1.315934065934066,45.0,1060,12.0,4.0,6.0,14.0,50.0,50.0,6.0,Other
381,Subway,Italian Hero Salad,230,140.0,15.0,5.0,1.315934065934066,45.0,1060,13.0,4.0,8.0,14.0,40.0,60.0,4.0,Other
382,Subway,Meatball Marinara Salad,310,150.0,17.0,7.0,1.0,30.0,720,25.0,6.0,10.0,16.0,60.0,70.0,10.0,Other
383,Subway,Oven Roasted Chicken Salad,140,25.0,3.0,0.5,1.315934065934066,50.0,280,10.0,4.0,4.0,19.0,50.0,60.0,8.0,Other
384,Subway,Roast Beef Salad,140,30.0,4.0,1.0,1.315934065934066,40.0,450,10.0,4.0,5.0,18.0,25.0,45.0,4.0,Other
385,Subway,Spicy Italian Salad,310,205.0,23.0,9.0,1.0,50.0,1280,11.0,4.0,6.0,15.0,50.0,50.0,8.0,Other
386,Subway,Steak & Cheese Salad,210,75.0,8.0,4.0,1.315934065934066,50.0,830,14.0,4.0,6.0,20.0,50.0,50.0,15.0,Other
387,Subway,Subway Club Salad,140,30.0,4.0,1.0,1.315934065934066,40.0,640,11.0,4.0,5.0,17.0,25.0,45.0,6.0,Other
388,Subway,Subway Melt® Salad,200,85.0,10.0,5.0,1.315934065934066,45.0,910,13.0,4.0,6.0,18.0,50.0,50.0,15.0,Other
389,Subway,Sweet Onion Chicken Teriyaki Salad,200,25.0,3.0,1.0,1.315934065934066,50.0,660,24.0,4.0,16.0,20.0,25.0,50.0,6.0,Other
390,Subway,Tuna Salad,310,215.0,24.0,4.0,1.315934065934066,40.0,370,10.0,4.0,4.0,15.0,50.0,50.0,6.0,Other
391,Subway,Turkey Breast & Ham Salad,110,20.0,3.0,1.0,1.315934065934066,25.0,580,11.0,4.0,5.0,12.0,25.0,45.0,6.0,Other
392,Subway,Turkey Breast Salad,110,20.0,2.0,1.0,1.315934065934066,20.0,570,11.0,4.0,5.0,12.0,25.0,45.0,6.0,Other
393,Subway,Veggie Delite Salad,50,10.0,1.0,8.233333333333333,1.315934065934066,74.18489065606362,65,9.0,4.0,4.0,3.0,25.0,45.0,4.0,Other
394,Subway,Chipotle Southwest Steak & Cheese Wrap,760,330.0,37.0,12.0,1.0,100.0,2250,65.0,4.0,7.0,43.0,15.0,45.0,30.0,Other
395,Subway,Rotisserie-Style Chicken Caesar Wrap,730,310.0,34.0,10.0,0.5,135.0,1900,53.0,3.0,4.0,55.0,15.0,8.0,45.0,Other
396,Subway,"Turkey, Bacon & Guacamole Wrap",810,380.0,42.0,13.0,0.5,75.0,2970,62.0,3.0,6.0,43.0,10.0,30.0,30.0,Other
397,Subway,Cheese & Veggies Pizza,740,230.0,25.0,11.0,1.315934065934066,50.0,1270,100.0,5.0,9.0,36.0,35.0,30.0,60.0,Other
398,Subway,Cheese Pizza,680,200.0,22.0,9.0,1.315934065934066,40.0,1070,96.0,4.0,7.0,32.0,25.0,4.0,45.0,Other
399,Subway,Pepperoni Pizza,790,290.0,32.0,13.0,1.315934065934066,60.0,1350,96.0,4.0,8.0,38.0,30.0,4.0,60.0,Other
400,Subway,Sausage Pizza,820,310.0,34.0,14.0,1.315934065934066,70.0,1420,97.0,4.0,8.0,39.0,30.0,4.0,60.0,Other
401,Taco Bell,1/2 lb.* Cheesy Potato Burrito,540,230.0,26.0,7.0,1.0,45.0,1360,59.0,7.0,4.0,19.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
402,Taco Bell,1/2 lb.* Combo Burrito,460,170.0,18.0,7.0,1.0,45.0,1320,53.0,9.0,3.0,21.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
403,Taco Bell,7-Layer Burrito,510,170.0,19.0,7.0,1.315934065934066,20.0,1090,68.0,11.0,4.0,16.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
404,Taco Bell,Bean Burrito,370,100.0,11.0,4.0,1.315934065934066,5.0,960,56.0,9.0,3.0,13.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
405,Taco Bell,Beefy 5-Layer Burrito,550,200.0,22.0,8.0,1.315934065934066,35.0,1270,68.0,8.0,5.0,19.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
406,Taco Bell,Beefy Fritos® Burrito,440,160.0,18.0,5.0,1.315934065934066,20.0,1030,55.0,4.0,3.0,13.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
407,Taco Bell,Black Bean Burrito,410,110.0,12.0,4.0,1.315934065934066,10.0,1100,62.0,8.0,3.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
408,Taco Bell,Burrito Supreme® – Beef,420,140.0,16.0,7.0,1.315934065934066,35.0,1090,53.0,8.0,5.0,16.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
409,Taco Bell,Burrito Supreme® - Chicken,390,110.0,12.0,5.0,1.315934065934066,40.0,1050,52.0,7.0,5.0,19.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
410,Taco Bell,Burrito Supreme® - Steak,390,120.0,13.0,5.0,1.315934065934066,30.0,1090,52.0,7.0,5.0,17.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
411,Taco Bell,Cantina Power Burrito - Chicken,760,240.0,27.0,6.0,1.315934065934066,60.0,1960,96.0,12.0,7.0,32.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
412,Taco Bell,Cantina Power Burrito - Steak,780,250.0,28.0,7.0,1.315934065934066,50.0,1900,98.0,13.0,7.0,33.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
413,Taco Bell,Cantina Power Burrito - Veggie,740,230.0,26.0,5.0,1.315934065934066,10.0,1750,107.0,17.0,8.0,20.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
414,Taco Bell,Cheesy Bean and Rice Burrito,420,160.0,17.0,3.5,1.315934065934066,74.18489065606362,930,55.0,6.0,4.0,11.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
415,Taco Bell,Chili Cheese Burrito,380,150.0,17.0,8.0,1.0,35.0,930,41.0,5.0,2.0,16.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
416,Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,210.0,24.0,9.0,1.315934065934066,55.0,1510,74.0,5.0,5.0,25.0,10.0,4.0,35.0,Other
417,Taco Bell,Steak Crunchy Cheesy Core Burrito,610,220.0,24.0,9.0,1.315934065934066,50.0,1520,75.0,5.0,5.0,25.0,10.0,4.0,40.0,Other
418,Taco Bell,Beef Crunchy Cheesy Core Burrito,630,240.0,26.0,10.0,0.5,45.0,1530,76.0,7.0,5.0,22.0,15.0,4.0,35.0,Other
419,Taco Bell,Loaded Taco Burrito,550,260.0,29.0,9.0,0.5,50.0,1130,52.0,7.0,4.0,20.0,15.0,6.0,20.0,Other
420,Taco Bell,Chicken Quesarito,620,270.0,30.0,10.0,1.315934065934066,60.0,1440,64.0,4.0,4.0,24.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
421,Taco Bell,Steak Quesarito,630,280.0,31.0,11.0,0.5,65.0,1410,64.0,3.0,4.0,25.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
422,Taco Bell,Beef Quesarito,650,300.0,34.0,12.0,0.5,60.0,1450,65.0,6.0,5.0,22.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
423,Taco Bell,Shredded Chicken Burrito,400,160.0,18.0,4.5,1.315934065934066,30.0,960,45.0,3.0,3.0,16.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
424,Taco Bell,Smothered Burrito - Beef,710,320.0,35.0,13.0,1.0,75.0,2260,70.0,10.0,4.0,28.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
425,Taco Bell,Smothered Burrito - Shredded Chicken,650,250.0,28.0,10.0,1.315934065934066,70.0,2230,67.0,8.0,4.0,34.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
426,Taco Bell,Smothered Burrito - Steak,670,260.0,29.0,11.0,0.5,80.0,2080,68.0,7.0,4.0,35.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
427,Taco Bell,Chicken Spicy Cheesy Core Burrito,540,180.0,20.0,8.0,1.315934065934066,55.0,1740,66.0,5.0,5.0,24.0,15.0,8.0,35.0,Other
428,Taco Bell,Steak Spicy Cheesy Core Burrito,550,190.0,21.0,9.0,1.315934065934066,50.0,1750,66.0,5.0,5.0,24.0,10.0,6.0,35.0,Other
429,Taco Bell,Beef Spicy Cheesy Core Burrito,570,210.0,23.0,10.0,0.5,45.0,1760,68.0,7.0,5.0,22.0,15.0,6.0,35.0,Other
430,Taco Bell,Triple Melt Burrito,410,140.0,16.0,6.0,1.315934065934066,30.0,1030,50.0,4.0,3.0,15.0,6.0,2.0,20.0,Other
431,Taco Bell,XXL Grilled Stuft Burrito - Beef,880,380.0,42.0,14.0,1.0,75.0,2020,94.0,12.0,6.0,31.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
432,Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,320.0,35.0,11.0,1.315934065934066,85.0,1940,91.0,10.0,6.0,37.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
433,Taco Bell,XXL Grilled Stuft Burrito - Steak,820,320.0,36.0,12.0,1.0,70.0,2020,91.0,10.0,7.0,33.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
434,Taco Bell,Chicken Soft Taco,170,50.0,6.0,3.0,1.315934065934066,30.0,460,18.0,1.0,1.0,12.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
435,Taco Bell,Cool Ranch® Doritos® Double Decker® Taco,320,120.0,14.0,5.0,1.315934065934066,25.0,770,36.0,6.0,2.0,13.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
436,Taco Bell,Cool Ranch® Doritos® Locos Taco,160,90.0,10.0,3.5,1.315934065934066,25.0,350,13.0,2.0,1.0,8.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
437,Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,200,100.0,12.0,4.5,1.315934065934066,35.0,370,15.0,3.0,3.0,9.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
438,Taco Bell,Crunchy Taco,170,90.0,10.0,4.0,1.315934065934066,25.0,290,12.0,3.0,1.0,8.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
439,Taco Bell,Crunchy Taco Supreme®,200,110.0,12.0,5.0,1.315934065934066,35.0,320,15.0,3.0,2.0,9.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
440,Taco Bell,Double Decker® Taco,320,120.0,14.0,5.0,1.315934065934066,25.0,640,37.0,7.0,2.0,13.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
441,Taco Bell,DOUBLE DECKER® Taco Supreme®,350,140.0,16.0,6.0,1.315934065934066,35.0,670,40.0,7.0,3.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
442,Taco Bell,Spicy Sweet Double Stacked Taco,340,160.0,18.0,7.0,1.315934065934066,35.0,640,32.0,4.0,6.0,12.0,10.0,2.0,15.0,Other
443,Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,180.0,20.0,8.0,0.5,40.0,630,30.0,4.0,3.0,13.0,15.0,2.0,20.0,Other
444,Taco Bell,Nacho Crunch Double Stacked Taco,380,170.0,19.0,6.0,1.315934065934066,35.0,650,39.0,5.0,2.0,13.0,8.0,2.0,20.0,Other
445,Taco Bell,Fiery Doritos® Double Decker® Taco,320,120.0,13.0,5.0,1.315934065934066,25.0,770,36.0,7.0,2.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
446,Taco Bell,Fiery Doritos® Locos Taco,170,90.0,10.0,3.5,1.315934065934066,25.0,370,12.0,3.0,1.0,8.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
447,Taco Bell,Fiery Doritos® Locos Taco Supreme,200,110.0,12.0,5.0,1.315934065934066,30.0,390,15.0,3.0,2.0,9.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
448,Taco Bell,Grilled Steak Soft Taco,250,130.0,14.0,4.0,1.315934065934066,30.0,550,19.0,2.0,2.0,11.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
449,Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,320,120.0,13.0,5.0,1.315934065934066,25.0,760,36.0,7.0,2.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
450,Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,80.0,9.0,4.0,1.315934065934066,25.0,340,13.0,2.0,1.0,8.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
451,Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,100.0,11.0,5.0,1.315934065934066,35.0,370,15.0,3.0,2.0,9.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
452,Taco Bell,Soft Taco Supreme® – Beef,230,100.0,11.0,5.0,1.315934065934066,35.0,530,22.0,3.0,3.0,10.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
453,Taco Bell,Soft Taco-Beef,200,80.0,9.0,4.0,1.315934065934066,25.0,510,19.0,3.0,1.0,10.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
454,Taco Bell,Spicy Potato Soft Taco,250,120.0,13.0,3.0,1.315934065934066,10.0,510,28.0,3.0,1.0,6.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
455,Taco Bell,Chalupa Supreme® - Chicken,340,160.0,18.0,4.0,1.315934065934066,40.0,530,29.0,3.0,4.0,16.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
456,Taco Bell,Chalupa Supreme® - Steak,340,170.0,18.0,4.0,1.315934065934066,30.0,570,29.0,3.0,4.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
457,Taco Bell,Chalupa Supreme®–Beef,370,190.0,21.0,5.0,1.315934065934066,30.0,570,31.0,4.0,4.0,13.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
458,Taco Bell,Double Chalupa,600,310.0,35.0,8.0,0.5,50.0,1010,50.0,6.0,5.0,21.0,15.0,4.0,15.0,Other
459,Taco Bell,Wild Naked Chicken Chalupa,420,250.0,28.0,6.0,1.315934065934066,65.0,1070,23.0,4.0,2.0,19.0,6.0,4.0,6.0,Other
460,Taco Bell,Mild Naked Chicken Chalupa,440,270.0,30.0,7.0,1.315934065934066,70.0,1090,22.0,3.0,1.0,20.0,6.0,4.0,6.0,Other
461,Taco Bell,Spicy Double Chalupa,600,310.0,35.0,8.0,0.5,50.0,1240,52.0,7.0,5.0,21.0,15.0,8.0,15.0,Other
462,Taco Bell,Fresco Bean Burrito,350,80.0,9.0,3.0,1.315934065934066,74.18489065606362,950,57.0,9.0,3.0,11.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
463,Taco Bell,Fresco Burrito Supreme® – Chicken,340,80.0,8.0,3.0,1.315934065934066,25.0,1020,50.0,7.0,4.0,17.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
464,Taco Bell,Fresco Burrito Supreme® – Steak,340,80.0,9.0,3.0,1.315934065934066,15.0,1060,50.0,7.0,4.0,15.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
465,Taco Bell,Fresco Chicken Soft Taco,150,35.0,4.0,1.0,1.315934065934066,25.0,460,18.0,2.0,2.0,11.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
466,Taco Bell,Fresco Crunchy Taco,140,70.0,8.0,2.0,1.315934065934066,20.0,290,13.0,3.0,1.0,6.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
467,Taco Bell,Fresco Grilled Steak Soft Taco,150,35.0,4.0,2.0,1.315934065934066,15.0,500,19.0,2.0,2.0,9.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
468,Taco Bell,Fresco Soft Taco,170,60.0,7.0,3.0,1.315934065934066,20.0,500,20.0,3.0,2.0,8.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
469,Taco Bell,Cheesy Gordita Crunch,490,260.0,29.0,10.0,1.0,55.0,810,39.0,5.0,6.0,20.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
470,Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,250.0,28.0,10.0,1.0,55.0,890,40.0,5.0,5.0,20.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
471,Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,250.0,28.0,10.0,1.0,55.0,890,40.0,5.0,4.0,20.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
472,Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,250.0,28.0,10.0,1.0,55.0,880,40.0,5.0,5.0,20.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
473,Taco Bell,Double Cheesy Gordita Crunch,570,290.0,32.0,12.0,1.0,70.0,1110,44.0,7.0,5.0,25.0,15.0,2.0,30.0,Other
